GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US06073012302,06073012302,"Census Tract 123.02, San Diego County, California",265400,33334
1400000US06073012303,06073012303,"Census Tract 123.03, San Diego County, California",368800,22954
1400000US06073012304,06073012304,"Census Tract 123.04, San Diego County, California",377800,31746
1400000US06073012401,06073012401,"Census Tract 124.01, San Diego County, California",285000,50311
1400000US06073012402,06073012402,"Census Tract 124.02, San Diego County, California",302000,47956
1400000US06073012501,06073012501,"Census Tract 125.01, San Diego County, California",16600,6530
1400000US06073012502,06073012502,"Census Tract 125.02, San Diego County, California",23200,9185
1400000US06073012600,06073012600,"Census Tract 126, San Diego County, California",261800,49092
1400000US06073012700,06073012700,"Census Tract 127, San Diego County, California",304400,102232
1400000US06073012800,06073012800,"Census Tract 128, San Diego County, California",329400,29149
1400000US06073012900,06073012900,"Census Tract 129, San Diego County, California",339700,18507
1400000US06073013000,06073013000,"Census Tract 130, San Diego County, California",346100,15004
1400000US06073013102,06073013102,"Census Tract 131.02, San Diego County, California",293000,51878
1400000US06073013103,06073013103,"Census Tract 131.03, San Diego County, California",45900,7261
1400000US06073013104,06073013104,"Census Tract 131.04, San Diego County, California",315700,28566
1400000US06073013203,06073013203,"Census Tract 132.03, San Diego County, California",333800,49813
1400000US06073013204,06073013204,"Census Tract 132.04, San Diego County, California",94100,39232
1400000US06073013205,06073013205,"Census Tract 132.05, San Diego County, California",168000,101590
1400000US06073013206,06073013206,"Census Tract 132.06, San Diego County, California",62900,26325
1400000US06073013301,06073013301,"Census Tract 133.01, San Diego County, California",335000,14837
1400000US06073013302,06073013302,"Census Tract 133.02, San Diego County, California",339400,12430
1400000US06073013303,06073013303,"Census Tract 133.03, San Diego County, California",244700,34626
1400000US06073013306,06073013306,"Census Tract 133.06, San Diego County, California",328800,15034
1400000US06073013307,06073013307,"Census Tract 133.07, San Diego County, California",295100,36187
1400000US06073013308,06073013308,"Census Tract 133.08, San Diego County, California",215000,22108
1400000US06073013309,06073013309,"Census Tract 133.09, San Diego County, California",370600,13899
1400000US06073013310,06073013310,"Census Tract 133.10, San Diego County, California",417200,24487
1400000US06073013311,06073013311,"Census Tract 133.11, San Diego County, California",394200,19842
1400000US06073013312,06073013312,"Census Tract 133.12, San Diego County, California",268800,25605
1400000US06073013313,06073013313,"Census Tract 133.13, San Diego County, California",424900,12947
1400000US06073013314,06073013314,"Census Tract 133.14, San Diego County, California",414800,35762
1400000US06073013401,06073013401,"Census Tract 134.01, San Diego County, California",379500,19794
1400000US06073013409,06073013409,"Census Tract 134.09, San Diego County, California",405800,20094
1400000US06073013410,06073013410,"Census Tract 134.10, San Diego County, California",480600,39173
1400000US06073013411,06073013411,"Census Tract 134.11, San Diego County, California",566700,27339
1400000US06073013412,06073013412,"Census Tract 134.12, San Diego County, California",497100,47810
1400000US06073013414,06073013414,"Census Tract 134.14, San Diego County, California",421000,24993
1400000US06073013415,06073013415,"Census Tract 134.15, San Diego County, California",343700,29119
1400000US06073013416,06073013416,"Census Tract 134.16, San Diego County, California",452800,16527
1400000US06073013417,06073013417,"Census Tract 134.17, San Diego County, California",493300,32596
1400000US06073013418,06073013418,"Census Tract 134.18, San Diego County, California",304900,46091
1400000US06073013419,06073013419,"Census Tract 134.19, San Diego County, California",430700,32016
1400000US06073013420,06073013420,"Census Tract 134.20, San Diego County, California",442700,45439
1400000US06073013421,06073013421,"Census Tract 134.21, San Diego County, California",427500,23722
1400000US06073013503,06073013503,"Census Tract 135.03, San Diego County, California",357300,19525
1400000US06073013504,06073013504,"Census Tract 135.04, San Diego County, California",373800,19281
