"long","lat","order","hole","piece","id","group"
-117.178477,32.750412,1825972,FALSE,"1","06073000202","06073000202.1"
-117.178144,32.750404,1825973,FALSE,"1","06073000202","06073000202.1"
-117.177148,32.75038,1825974,FALSE,"1","06073000202","06073000202.1"
-117.176816,32.750374,1825975,FALSE,"1","06073000202","06073000202.1"
-117.176815,32.750273,1825976,FALSE,"1","06073000202","06073000202.1"
-117.176812,32.749972,1825977,FALSE,"1","06073000202","06073000202.1"
-117.176812,32.749872,1825978,FALSE,"1","06073000202","06073000202.1"
-117.176635,32.749872,1825979,FALSE,"1","06073000202","06073000202.1"
-117.176107,32.749872,1825980,FALSE,"1","06073000202","06073000202.1"
-117.175931,32.749873,1825981,FALSE,"1","06073000202","06073000202.1"
-117.175746,32.749873,1825982,FALSE,"1","06073000202","06073000202.1"
-117.175191,32.749873,1825983,FALSE,"1","06073000202","06073000202.1"
-117.175007,32.749874,1825984,FALSE,"1","06073000202","06073000202.1"
-117.17483,32.749874,1825985,FALSE,"1","06073000202","06073000202.1"
-117.174302,32.749876,1825986,FALSE,"1","06073000202","06073000202.1"
-117.174126,32.749878,1825987,FALSE,"1","06073000202","06073000202.1"
-117.17394,32.749878,1825988,FALSE,"1","06073000202","06073000202.1"
-117.173384,32.749879,1825989,FALSE,"1","06073000202","06073000202.1"
-117.173199,32.74988,1825990,FALSE,"1","06073000202","06073000202.1"
-117.173073,32.749864,1825991,FALSE,"1","06073000202","06073000202.1"
-117.172698,32.749817,1825992,FALSE,"1","06073000202","06073000202.1"
-117.1723,32.749819,1825993,FALSE,"1","06073000202","06073000202.1"
-117.172283,32.749821,1825994,FALSE,"1","06073000202","06073000202.1"
-117.172112,32.749823,1825995,FALSE,"1","06073000202","06073000202.1"
-117.171561,32.749839,1825996,FALSE,"1","06073000202","06073000202.1"
-117.171377,32.749844,1825997,FALSE,"1","06073000202","06073000202.1"
-117.171193,32.749843,1825998,FALSE,"1","06073000202","06073000202.1"
-117.170643,32.74984,1825999,FALSE,"1","06073000202","06073000202.1"
-117.17046,32.74984,1826000,FALSE,"1","06073000202","06073000202.1"
-117.170279,32.749841,1826001,FALSE,"1","06073000202","06073000202.1"
-117.169736,32.749848,1826002,FALSE,"1","06073000202","06073000202.1"
-117.169556,32.749852,1826003,FALSE,"1","06073000202","06073000202.1"
-117.169376,32.749854,1826004,FALSE,"1","06073000202","06073000202.1"
-117.168839,32.749861,1826005,FALSE,"1","06073000202","06073000202.1"
-117.168661,32.749864,1826006,FALSE,"1","06073000202","06073000202.1"
-117.168657,32.749684,1826007,FALSE,"1","06073000202","06073000202.1"
-117.168654,32.74952,1826008,FALSE,"1","06073000202","06073000202.1"
-117.168647,32.749147,1826009,FALSE,"1","06073000202","06073000202.1"
-117.168645,32.748968,1826010,FALSE,"1","06073000202","06073000202.1"
-117.168633,32.748786,1826011,FALSE,"1","06073000202","06073000202.1"
-117.168628,32.748701,1826012,FALSE,"1","06073000202","06073000202.1"
-117.168628,32.74855,1826013,FALSE,"1","06073000202","06073000202.1"
-117.168634,32.748241,1826014,FALSE,"1","06073000202","06073000202.1"
